Person URL,Load time,Data index (26),Photo,Name,Title,Research interests,Accepting PhD students,Email,Telephone,Address,Google scholar,ORCID,LinkedIn,Twitter,About,Research groups,Research interests,Current research,Research projects active,Research projects completed,Publications,Supervision current,Teaching intro,Teaching modules,Roles,Biography,Prizes,Person name,Person name suffix,# of publications,Person title,Person email,Person school,Person faculty,Person school or department,Person username,Supervision quantity,Teaching quantity
,9408.49,,443,3325,2016,93,97,3325,1590,1827,42,1186,31,34,101,564,93,84,354,602,2055,1087,48,906,371,342,245,,,,,,,,,,,
https://oneweb.soton.ac.uk/people/doctor-zheng-tong-xie,6.45,10,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,Doctor Zheng-Tong Xie,54,Associate Professor,,,School of Engineering,Aerodynamics and Flight Mechanics Group
https://oneweb.soton.ac.uk/people/doctor-vasileios-apostolopoulos,6.20,9,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,Doctor Vasileios Apostolopoulos,97,Associate Professor,,,School of Physics and Astronomy,Quantum  Light and Matter Group
https://oneweb.soton.ac.uk/people/doctor-penny-nestel,5.75,6,NO,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,Doctor Penny Nestel,17,Principal Teaching Fellow,,,Human Development and Health,Human Development and Health
https://oneweb.soton.ac.uk/people/doctor-richard-beaven,5.69,11,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,Doctor Richard Beaven,127,Principal Research Fellow,,,School of Engineering,Infrastructure Group
https://oneweb.soton.ac.uk/people/doctor-phyllis-lam,5.56,9,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,Doctor Phyllis Lam,37,Associate Professor,,,School of Ocean and Earth Science,Marine Biogeochemistry
https://oneweb.soton.ac.uk/people/doctor-philip-goodwin,5.53,7,NO,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,Doctor Philip Goodwin,36,Associate Professor,,,Institute for Life Sciences,Institute for Life Sciences  Paleooceanography and Palaeoclimate
https://oneweb.soton.ac.uk/people/doctor-sarah-neal,5.52,9,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,Doctor Sarah Neal,30,Associate Professor,,,School of Economic Social and Political Science,Social Statistics and Demography
https://oneweb.soton.ac.uk/people/doctor-phil-williamson,5.39,12,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,Doctor Phil Williamson,54,Associate Professor,,,,Molecular and Cellular Biosciences
https://oneweb.soton.ac.uk/people/doctor-yves-berger,5.37,8,NO,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,Doctor Yves Berger,69,Associate Professor,,,School of Economic Social and Political Science,Social Statistics and Demography
https://oneweb.soton.ac.uk/people/doctor-stuart-boden,5.10,10,YES,YES,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,Doctor Stuart Boden,96,Associate Professor,,,School of Electronics and Computer Science,Sustainable Electronic Technologies
