02/12,15/12,10/01,11/01,11/01,06/02,02/03,18/03,18/03,18/03,18/03,18/03,18/03,18/03,18/03,18/03,18/03
1,149,24,0,225,3,0,0,0,0,0,0,0,0,0,0,0
1,83,13,0,125,2,0,0,0,0,0,0,0,0,0,0,0
